,Species,Owner,CountryofOrigin,TopCountriesBags,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,NumberofBags,Bag.Weight,InCountryPartner,HarvestYear,GradingDate,Owner,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Moisture,CategoryOneDefects,Quakers,Color,CategoryTwoDefects,Expiration,CertificationBody,CertificationAddress,CertificationContact,unitofmeasurement,altitudelowmeters,altitudehighmeters,altitudemeanmeters
15,Arabica,ipanema coffees,Brazil,1,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5,0.11,0,0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890,890,890
16,Arabica,ipanema coffees,Brazil,1,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67,0.11,0,0,Green,5,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890,890,890
17,Arabica,volcafe ltda. - brasil,Brazil,1,sǜo rafael_ ra/ras certified,2017-003,copag - varginha - mg,002/143-0/0058,volcafe ltda.,995,cerrado - monte carmelo - minas gerais,Luiz Augusto Pereira Moguilod,440,59 kg,Brazil Specialty Coffee Association,,"November 3rd, 2017",Volcafe Ltda. - Brasil,Catuai,Natural / Dry,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,80.25,0.11,0,1,Green,1,"November 3rd, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,995,995,995
18,Arabica,brayan cunha souza,Brazil,1,,BR5691,cafeco 3,002/1352/0226,carmo coffees,1100,mantiqueira de minas,,440,60 kg,Brazil Specialty Coffee Association,,"November 29th, 2017",Brayan Cunha Souza,Bourbon,Pulped natural / honey,7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,80.08,0.11,0,0,Green,5,"November 29th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1100,1100,1100
19,Arabica,ipanema coffees,Brazil,1,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,77.33,0,0,0,Green,3,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890,890,890
20,Arabica,volcafe ltda. - brasil,Brazil,1,,2017/2018-Lot01,copag,,volcafe ltda.,,monte carmelo,,440,59 kg,Brazil Specialty Coffee Association,,"October 27th, 2017",Volcafe Ltda. - Brasil,,Natural / Dry,7.17,7,6.83,7.5,7.17,7,8,8,10,7,75.67,0.11,0,1,Green,6,"October 27th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
21,Arabica,volcafe ltda. - brasil,Brazil,1,,2017/2018 - Lot 2,copag,,volcafe ltda.,,cerrado,,305,59 kg,Brazil Specialty Coffee Association,,"October 27th, 2017",Volcafe Ltda. - Brasil,,Natural / Dry,7,7,6.83,7,7.33,6.83,6,6,10,6.67,70.67,0.11,0,1,Green,55,"October 27th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
22,Arabica,gabriel barbara,Brazil,1,,2016/0001,copag,02 / 143-0 / 0044,volcafe ltda.,,cerrado,,305,59 kg,Brazil Specialty Coffee Association,,"October 13th, 2016",Gabriel Barbara,,Natural / Dry,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,0.11,0,4,Green,14,"October 13th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
23,Arabica,gabriel barbara,Brazil,1,santa bǭrbara,2016/0002,copag,02 / 143-0 / 0044,volcafe ltda.,1020,monte carmelo,Mǧcio Cardoso,305,59 kg,Brazil Specialty Coffee Association,,"October 26th, 2016",Gabriel Barbara,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,81.92,0.11,0,0,Green,4,"October 26th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1020,1020,1020
24,Arabica,bourbon specialty coffees,Brazil,1,cachoeira da grama farm,43103820 - K24258 - 030/16,dry mill,002/4542/0966,bourbon specialty coffees,,grama valley,GABRIEL DE CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,,"September 9th, 2016",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Pulped natural / honey,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,81,0.11,0,2,Bluish-Green,3,"September 9th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
25,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
26,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0106,ipanema coffees,1227,south of minas,Ipanema Agr��cola SA,10,2 kg,Specialty Coffee Association,,"October 12th, 2015",Ipanema Coffees,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1,0,Green,5,"October 11th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1227,1227,1227
27,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0164,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08,0,0,0,Green,3,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
28,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,82.67,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
29,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
30,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0107,ipanema coffees,1268,south of minas,Ipanema Agr��cola SA,12,2 kg,Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,0.07,0,0,Green,0,"October 7th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1268,1268,1268
31,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,180,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,0,0,0,Green,9,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
32,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0164,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,0,0,0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
33,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82.08,0,0,0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
34,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,81.83,0,0,0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
35,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0164,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,300,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,81.83,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
36,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67,0,0,0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
37,Arabica,cafebras,Brazil,1,fazenda rio brilhante,,17/18,002/1495/0134,cafebras comercio de cafǸs do brasil sa,1100,cerrado,INACIO URBAN,300,60 kg,Brazil Specialty Coffee Association,,"December 3rd, 2015",Cafebras,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42,0.11,0,0,Green,2,"December 2nd, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1100,1100,1100
38,Arabica,cafebras,Brazil,1,fazenda sacramento,,17/18,002/1495/0134,cafebras comercio de cafǸs do brasil sa,1100,cerrado,NELSON AZEVEDO FRAN�?A,300,60 kg,Brazil Specialty Coffee Association,,"November 20th, 2015",Cafebras,Catuai,Natural / Dry,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33,0.11,0,0,Green,14,"November 19th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1100,1100,1100
39,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema comercial e exportadora sa,002/4177/0164,ipanema coffees,1,south of minas,Ipanema Agr��cola SA,320,2 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25,0,0,0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1,1,1
40,Arabica,bourbon specialty coffees,Brazil,1,castelhana farm,,,002/4542/0021,bourbon specialty coffees,,monte carmelo,DIOGO TUDELA NETO,320,60 kg,Brazil Specialty Coffee Association,,"October 8th, 2015",BOURBON SPECIALTY COFFEES,,Natural / Dry,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,80.75,0,0,0,Green,1,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
41,Arabica,bourbon specialty coffees,Brazil,1,cachoeira da grama farm,,internacional armazens gerais,002/4542/0049,bourbon specialty coffees,1250 m,vale da grama,Lindolpho de Carvalho Dias,300,60 kg,Brazil Specialty Coffee Association,,"November 17th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5,0.11,0,0,Green,3,"November 16th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1250,1250,1250
42,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0066,ipanema coffees,1200,south of minas,Ipanema Agr��cola SA,300,2 kg,Specialty Coffee Association,,"October 16th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0,0,0,Green,1,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
43,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0064,ipanema coffees,1200,south of minas,Ipanema Agr��cola SA,300,2 kg,Specialty Coffee Association,,"October 16th, 2014",Ipanema Coffees,Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08,0,0,0,Green,1,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200,1200,1200
44,Arabica,expocaccer coop dos cafeic do cerrado ltda,Brazil,1,fazenda pantano,,,999,expocaccer,11000 metros,cerrado,GERSON NAIMEG,300,2 kg,Brazil Specialty Coffee Association,,"August 15th, 2014",Expocaccer Coop dos Cafeic do Cerrado Ltda,Moka Peaberry,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92,0.11,0,0,Green,16,"August 15th, 2015",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,11000,11000,11000
45,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0065,ipanema coffees,1100,south of minas,Ipanema Agr��cola SA,10,2 kg,Specialty Coffee Association,,"October 15th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,0,0,Blue-Green,0,"October 15th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
46,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0065,ipanema coffees,1100,south of minas,Ipanema Agr��cola SA,320,2 kg,Specialty Coffee Association,,"October 16th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,0.11,0,0,Green,0,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
47,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0065,ipanema coffees,1100,south of minas,Ipanema Agr��cola SA,320,2 kg,Specialty Coffee Association,,"October 15th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,81.83,0.11,0,0,Green,0,"October 15th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
48,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/4177/0161,ipanema coffees,1260,south of minas,Ipanema Agr��cola SA,300,2 kg,Specialty Coffee Association,,"October 16th, 2014",Ipanema Coffees,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67,0.1,0,0,Green,2,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1260,1260,1260
49,Arabica,ipanema coffees,Brazil,1,rio verde,,ipanema coffees,002/1660/0065,ipanema coffees,1100,south of minas,Ipanema Agr��cola SA,320,2 kg,Specialty Coffee Association,,"October 17th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42,0,0,0,Green,0,"October 17th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
50,Arabica,jacques pereira carneiro,Brazil,1,sertao farm,,carapina,002/135-2/0076,exportadora de cafǸs carmo de minas ltda,1200,mantiqueira de minas,NAZARETH DIAS PEREIRA,300,60 kg,Brazil Specialty Coffee Association,,"December 16th, 2014",Jacques Pereira Carneiro,Yellow Bourbon,Other,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33,0.12,0,0,Green,6,"December 16th, 2015",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1200,1200,1200
